Date,Open,High,Low,Close,Volume,Adj Close
4/1/16,31.5,32.02,30.51,31.030001,32264300,31.030001
3/1/16,29.41,32.049999,29.309999,31.790001,34608700,31.790001
2/1/16,29.01,29.610001,27.1,29.139999,44516100,29.139999
1/4/16,30.549999,30.84,27.48,29.1,63397100,28.868889
12/1/15,29.99,31.49,29.77,31.15,52952200,30.902607
11/2/15,28.940001,30.99,28.879999,29.940001,168162300,29.481703
10/1/15,25.15,29.83,24.790001,28.92,70531700,28.477316
9/1/15,24.24,26.030001,23.68,25.219999,46312500,24.833952
8/3/15,26.120001,26.33,19.370001,24.82,38806900,24.223291
7/1/15,26.67,27.33,25.52,26.1,29094100,25.472519
6/1/15,27.26,27.68,26.530001,26.57,33375800,25.931219
5/1/15,27.09,27.790001,26.610001,27.27,34048900,26.389921
4/1/15,24.719999,28.68,24.57,27.08,67788700,26.206053
3/2/15,25.879999,26.120001,24.67,24.809999,35538800,24.009312
2/2/15,24,26.27,23.9,25.99,38124900,25.15123
1/2/15,25.34,25.459999,23.41,23.889999,47700900,22.908411
12/1/14,26.16,26.469999,24.059999,25.27,40687800,24.231712
11/3/14,25.49,27.1,25.48,26.49,28829100,25.164667
10/1/14,25.43,25.93,23.690001,25.809999,37177400,24.518688
9/2/14,25.889999,26.4,25.299999,25.620001,28269200,24.338196
8/1/14,25.07,26.450001,24.75,25.98,27001000,24.473497
7/1/14,26.27,27.15,25.15,25.15,34881200,23.691628
6/2/14,26.709999,27.530001,26.200001,26.280001,28162300,24.756104
5/1/14,26.73,26.959999,26.15,26.790001,21905100,25.030058
4/1/14,25.83,26.9,25.43,26.889999,32731000,25.123487
3/3/14,25.209999,26.35,24.92,25.889999,34011600,24.18918
2/3/14,25.129999,26.040001,24.32,25.469999,37064800,23.796772
1/2/14,27.860001,27.940001,24.9,25.129999,45898300,23.275745
12/2/13,26.65,28.09,26.200001,28.030001,36802800,25.961767
11/1/13,26.049999,27.5,26.030001,26.66,36825500,24.494661
10/1/13,23.940001,26.48,23.5,26.139999,40825700,24.016895
9/3/13,23.309999,24.91,22.92,23.889999,38743100,21.949642
8/1/13,24.6,24.870001,23.040001,23.139999,31680000,21.098066
7/1/13,23.209999,24.950001,22.76,24.370001,37830200,22.21953
6/3/13,23.370001,24.450001,22.76,23.190001,46064200,21.143656
5/1/13,22.1,24.129999,22.1,23.32,40605700,21.093718
4/1/13,23.030001,23.719999,21.110001,22.290001,45473700,20.162048
3/1/13,23.02,23.9,22.85,23.120001,35856200,20.912811
2/1/13,22.43,23.75,22.27,23.219999,42399400,21.003263
1/2/13,21.51,22.58,20.68,22.280001,45481800,19.989439
12/3/12,21.18,21.950001,20.26,20.99,48120000,18.83206
11/1/12,21.030001,21.780001,19.870001,21.129999,41367900,18.786226
10/1/12,22.73,23.18,20.969999,21.059999,45216000,18.723989
9/4/12,20.629999,22.959999,20.48,22.709999,57152600,20.190969
8/1/12,20.860001,21.190001,20.200001,20.709999,31618300,18.27326
7/2/12,20.74,21,19.360001,20.75,51637000,18.308554
6/1/12,18.82,20.84,18.02,20.84,62921700,18.387964
5/1/12,19.58,19.950001,18.32,19.09,46065700,16.654829
4/2/12,20.030001,20.110001,18.700001,19.58,43774500,17.082323
3/1/12,19.15,21,18.32,20.07,50233700,17.509817
2/1/12,18.940001,19.5,18.700001,19.049999,49933200,16.61993
1/3/12,18.23,19.27,18.23,18.709999,51444600,16.180189
12/1/11,15.89,18.280001,15.73,17.91,73366100,15.488358
11/1/11,16.129999,16.690001,14.68,15.91,64405900,13.62656
10/3/11,15.1,17.5,14.02,16.709999,70815300,14.311742
9/1/11,16.309999,16.450001,14.72,15.22,88186000,13.035591
8/1/11,18.389999,18.42,14.82,16.309999,93424200,13.836449
7/1/11,18.860001,19.530001,17.780001,17.91,56825300,15.193795
6/1/11,19.469999,19.6,17.969999,18.860001,53951800,15.999721
